Region,Mean Energy [keV],Percentage Error,Percentage of Total,Level1,Level2,Level3
BLKBODY,0.39638723501076933,0.004236098766987793,0.1762026985707812,Facility,Extra,
AIRt,7.004408338461538e-10,99.99999999999987,3.1136109897561993e-10,Facility,Extra,
AIRr,0.5103569057492305,0.0028888056891689068,0.22686468201935178,Facility,Extra,
AIRb,3.1558385143076924e-10,66.15607718382705,1.4028384704656612e-10,Facility,Extra,
EXTa,0.028060224422307694,0.013003342586993745,0.012473376610066733,Facility,Extra,
W1A,0.000740011687223077,0.07151782648906663,0.00032895119909469447,Facility,Walls,Wall 1
W1G,1.9261437858923078,0.0018763013027617548,0.8562125692577984,Facility,Walls,Wall 1
W1L,1.292210614523077,0.0026341185337956977,0.574415564604616,Facility,Walls,Wall 1
W1P,0.050098194526153834,0.00945096098754996,0.02226973093316795,Facility,Walls,Wall 1
W2A,0.0011179252550153848,0.0541057244710119,0.0004969419530595827,Facility,Walls,Wall 2
W2G,4.307976763753845,0.0011408005751923425,1.9149888394691241,Facility,Walls,Wall 2
W2L,4.323578399815386,0.0017032522330135658,1.92192410411277,Facility,Walls,Wall 2
W2P,0.08219646765107697,0.006470590944911203,0.036538107521833264,Facility,Walls,Wall 2
W3A,9.767309042323074e-05,0.19149974725305516,4.341780105470248e-05,Facility,Walls,Wall 3
W3G,0.5714671989876925,0.003937252044447843,0.2540295289871816,Facility,Walls,Wall 3
W3L,0.789068035036923,0.004147851971017361,0.3507578066323758,Facility,Walls,Wall 3
W3P,0.0063184782282923084,0.023612878278771014,0.002808700221276261,Facility,Walls,Wall 3
W4A,0.0007765707280769232,0.06796443521710865,0.0003452024834112344,Facility,Walls,Wall 4
W4G,4.010233880230769,0.0015430346272343335,1.7826356885015195,Facility,Walls,Wall 4
W4L,4.711581109646153,0.0014804521748956975,2.094399699910146,Facility,Walls,Wall 4
W4P,0.060063187267846145,0.00919787890784497,0.026699385718284147,Facility,Walls,Wall 4
WEG,0.5324897568969231,0.0038019804604330675,0.23670321301842112,Facility,Walls,na
FLOOR,6.018113413415387,0.00121077567296462,2.675181565117748,Facility,Extra,na
CEILING,6.374540571830769,0.0012439660543778353,2.8336211454311737,Facility,Extra,na
PILLC,0.4182905616107692,0.004220294876898175,0.18593920094450744,Facility,Extra,na
PILL_P,0.011052775538307693,0.01689775185144767,0.004913197763530458,Facility,Extra,na
D1L,0.5239936563692309,0.004875629304410911,0.23292651258994407,Facility,Doors,Door 1
D1P,0.020800675137692303,0.012698370579267027,0.009246349951849388,Facility,Doors,Door 1
D1J,0.011861426569076928,0.02563557434269952,0.005272660635284418,Facility,Doors,Door 1
D2L,1.8290119066615382,0.0025463179027322906,0.8130353482828401,Facility,Doors,Door 2
D2P,0.0977505662710769,0.006546809063993891,0.043452240744628876,Facility,Doors,Door 2
D2J,0.014644090204769228,0.018619264767190898,0.006509614801607265,Facility,Doors,Door 2
WINDOW,0.8706141692215387,0.0032817186452151897,0.3870068268637007,Facility,Window,na
WINDL,0.21700473771384615,0.007195995655302054,0.09646329904338473,Facility,Window,na
WINDJ,0.014919445518461534,0.02164253772768195,0.006632016193612408,Facility,Window,na
PHANTOM,7.646637314276925,0.000697883280290114,3.3990956588978416,Phantom,Phantom,
WATER,131.27777813999998,0.0002168610399053164,58.35581150845044,Phantom,Water,
TLDA1,4.1792043076332305e-08,9.184581752461067,1.8577466977805217e-08,TLDs,,
TLDA2,4.0732656898061535e-09,37.74793909141095,1.810654691037463e-09,TLDs,,
TLDB1,8.907106994061536e-08,6.687711878772204,3.959401691554678e-08,TLDs,,
TLDB2,2.9350932141538463e-11,71.00946301842104,1.3047124105211023e-11,TLDs,,
TLDC1,3.099573294483231e-08,11.267821046571456,1.3778273634140453e-08,TLDs,,
TLDC2,4.081250166153846e-10,99.99999999999991,1.8142039634531092e-10,TLDs,,
TLDD,1.0873064573784617e-07,5.850014179509827,4.833312353217325e-08,TLDs,,
TLDE1,1.0261566688107689e-06,1.8780542217570078,4.5614883182589986e-07,TLDs,,
TLDE2,1.064983791150769e-06,1.8988511569897295,4.734083274145002e-07,TLDs,,
TLDE3,1.1821316016992307e-08,19.85201702358822,5.254830627417788e-09,TLDs,,
TLDE4,1.5211984497464613e-08,15.02749609581182,6.762056096476796e-09,TLDs,,
PCTT,1.1382210988,0.0019243865636024101,0.5059638945570759,Scanner,Patient Couch,
PCTTf,0.07514036530538463,0.007032357251185578,0.033401517427884275,Scanner,Patient Couch,
PCSUPP,0.4499350092046153,0.004129281638859991,0.20000584226979096,Scanner,Patient Couch,
PCTBL,1.4788044507384615,0.0023998543367409943,0.6573605602398358,Scanner,Patient Couch,
PCCOV,0.03031234225476923,0.013470363795197341,0.013474491692817364,Scanner,Patient Couch,
COLL,23.81182858538461,0.0005541526572019227,10.584872781121831,Scanner,SPECT,
ALCV,0.013489394954153855,0.019264419343943448,0.005996327790284195,Scanner,SPECT,
FOAM,2.360320727538462e-06,1.7658829318114935,1.0492136097004414e-06,Scanner,SPECT,
CRYS,0.24055879805230773,0.006688110520989271,0.10693358826403328,Scanner,SPECT,
LTGD,0.00011230820089692306,0.2507859908064578,4.992342417164274e-05,Scanner,SPECT,
OPTI,8.400738253523077e-07,2.061991803592995,3.7343098352229766e-07,Scanner,SPECT,
PMTS,0.0001301359631723077,0.2500864894302004,5.784825006144667e-05,Scanner,SPECT,
