crystal_num,counts,difference,PD,PD_abs
15,8406544,-1921263,-18.6,18.60281544747332
28,8913721,-1414086,-13.69,13.692024925715923
24,9192331,-1135476,-10.99,10.994356562862665
26,9228339,-1099468,-10.65,10.64570560844746
9,11420228,1092421,10.58,10.577472347067657
10,9364161,-963646,-9.33,9.330595912530388
16,9431313,-896494,-8.68,8.680390155729405
6,9463518,-864289,-8.37,8.368562117878325
2,9503140,-824667,-7.98,7.984918257740599
20,9520702,-807105,-7.81,7.814872488427119
13,9614648,-713159,-6.91,6.905231226388382
22,9615687,-712120,-6.9,6.8951710080580835
7,10950855,623048,6.03,6.032722724019228
29,10935812,608005,5.89,5.88706741666342
11,10907618,579811,5.61,5.614076275561936
1,10886129,558322,5.41,5.406006947650685
25,10873371,545564,5.28,5.282476374543898
19,9794147,-533660,-5.17,5.167214739313987
27,9808382,-519425,-5.03,5.029382970370963
3,9904584,-423223,-4.1,4.097897769397526
12,10660771,332964,3.22,3.223956242665635
30,10616342,288535,2.79,2.793768138530078
14,10571159,243352,2.36,2.356279356222197
8,10567475,239668,2.32,2.320608668706489
33,10106162,-221645,-2.15,2.1460992221550215
5,10540175,212368,2.06,2.056273769363701
31,10409657,81850,0.79,0.7925205681760857
18,10402049,74242,0.72,0.7188553698537441
23,10380671,52864,0.51,0.5118608102145461
32,10300339,-27468,-0.27,0.26596157564643524
21,10353189,25382,0.25,0.24576367820947348
17,10345355,17548,0.17,0.16991021295484363
4,10327807,0,0.0,0.0
