crystal_num,counts,difference,PD,PD_abs
1,630603,92892,17.28,17.275450939259194
2,621315,83604,15.55,15.548129013540732
3,620154,82443,15.33,15.332213772825924
5,463203,-74508,-13.86,13.856514001015416
11,465000,-72711,-13.52,13.52231961034831
15,608951,71240,13.25,13.248752582707068
18,480412,-57299,-10.66,10.656095932573445
20,483866,-53845,-10.01,10.013743442109236
26,484259,-53452,-9.94,9.940655854167016
12,486223,-51488,-9.58,9.575403887962121
28,489818,-47893,-8.91,8.906829133121695
21,490811,-46900,-8.72,8.722157441450891
10,569392,31681,5.89,5.891826650375387
29,509870,-27841,-5.18,5.177688386512457
31,510348,-27363,-5.09,5.088793050542019
13,510412,-27299,-5.08,5.076890746144304
19,513348,-24363,-4.53,4.530872531899106
8,560616,22905,4.26,4.259723159838649
16,516091,-21620,-4.02,4.020747204353268
6,556594,18883,3.51,3.511737717844716
22,555065,17354,3.23,3.227384226843044
30,554393,16682,3.1,3.1024100306670315
33,551661,13950,2.59,2.5943304116895507
14,550247,12536,2.33,2.3313638739025238
23,526737,-10974,-2.04,2.0408732571957797
7,529143,-8568,-1.59,1.5934210012441627
4,545555,7844,1.46,1.458776182745006
32,543627,5916,1.1,1.1002192627638268
24,541365,3654,0.68,0.6795471917070695
17,539249,1538,0.29,0.28602725255760064
25,536665,-1046,-0.19,0.19452828750016274
27,538030,319,0.06,0.0593255484823632
9,537711,0,0.0,0.0
